DB_id,series_title,series_sub_title,series_type,previous_id,notes
-2145405194,Journal of Ethnic and Migration Studies,A Journal of Contemporary & Historical Debate,journal,0,
-2135707629,Saothar,Journal of the Irish Labour History Society,journal,0,
-2134512417,Progressive Ireland,,books,0,
-2133942847,British Journal of Sociology of Education,,journal,0,
-2131912763,"Seventeenth Century, The",,journal,0,
-2129109560,Journal of Political Economy,,journal,0,
-2119563635,Old Kilkenny Review,,journal,0,
-2119033408,Oral History Interview,,article edition sub series,0,
-2117984863,The Women's International,,article edition sub series,0,
-2115275303,Belfast Magazine and Literary Journal,,journal,0,
-2109445161,Toponomia Hiberniae,,journal,0,
-2108461018,Agenda,,journal,0,
-2106975090,"Catholic Book Bulletin, The",A Monthly Review of Catholic Literature,journal,0,
-2101355763,U.C.G. Women's Studies Centre Review,,journal,0,Early version of the Women's Studies Review
-2099123674,Transactions of the Dublin Statistical Society,,journal,0,
-2096514367,Review Essays,,article edition sub series,0,
-2083812973,Irish Quarterly Review,,journal,0,
-2080416410,Off Our Backs: A Woman's Newsjournal,,journal,0,Washington
-2076577931,Windsor Selection Series,,books,0,
-2075836511,Verse,,journal,0,
-2071460595,Studies in Conflict & Terrorism,,journal,0,
-2069161570,Poetry Review,,journal,0,
-2059387607,Archaeology Ireland,,journal,0,
-2057020243,History and Computing,,journal,0,
-2056267933,Hecate,,journal,0,St. Lucia
-2054755577,Language and Linguistics,,journal,0,
-2053533019,Partisan Review,,journal,0,
-2050688381,Journal of International Feminst Politics,,journal,0,
-2049517770,Petherick's Collection of Favourite and Approved Authors,,books,0,E.A. Petherick. Melbourne
-2046836697,Poetry Ireland,,journal,0,
-2042954092,I,,article edition sub series,0,
-2042626416,Metre,,journal,0,
-2040765283,"English Woman's Journal, The",,journal,0,
-2039615731,The Films,,article edition sub series,0,
-2034557824,Ulsterman,,journal,0,
-2030030345,"Gaelic Journal, The",exclusively devoted to the preservation and cultiv,journal,0,
-2025513890,"Irish Magazine, The",and Monthly Asylum for Neglected Biography,journal,0,
-2020077291,Gender and Education,,journal,0,
-2018716465,Homes and Gardens,,journal,0,
-2011175561,History Ireland,,journal,0,
-2006186493,"Sociological Quarterly, The",,journal,0,
-2005884026,Journal of the Clifden & Connemara Heritage Group,,journal,0,
-2005751809,"Gael, The",,journal,0,
-2005390025,Romance Philology,,journal,0,
-1999498877,Journal of the History of Ideas,,journal,0,
-1993092194,Comhar,,journal,0,
-1989170622,Journal of Family History,,journal,0,
-1982650193,Old Fire Station Poets,,books,0,
-1970889157,Urban Studies,,journal,0,
-1970351340,"Irish People, The",,journal,0,
-1968930097,"Illustrated Dublin Journal, The",,journal,0,
-1968343879,West 47,,journal,0,
-1961614999,Clogher Record,,journal,0,
-1958751441,Social and Personal,,journal,0,
-1952569201,Making Suffrage History in Tullamore,,article edition sub series,0,
-1952145961,Business History Review,,journal,0,
-1947061525,Hibernia,,journal,0,
-1946455484,Études Celtiques,,journal,0,
-1940319068,Journal of Linguistics,,journal,0,
-1936611214,Ulster Year Book,,journal,0,
-1932632712,Bradshaw Poets,,books,0,
-1928773320,"Dublin Review, The",,journal,0,
-1922538795,Jerome Connor,,article edition sub series,0,
-1920561001,Yeats Studies,,journal,0,
-1914631709,American Sociological Review,,journal,0,
-1914565485,Young Irelanders in Battle,,article edition sub series,0,
-1913275224,"Historical Journal, The",,journal,0,
-1909721627,Peritia,Journal of the Medieval Academy of Ireland,journal,0,
-1906964918,Blue Book Magazine,,journal,0,
-1902142916,Language,Journal of the Linguistic Society of America,journal,0,
-1899783498,French Historical Studies,,journal,0,
-1898543913,TDR,The Drama Review,journal,0,
-1890947515,Southern Review,,journal,0,
-1887056250,Country Beautiful,,journal,0,
-1883012142,From the Celtic Past,,article edition sub series,0,
-1881839384,The Ontario Press Review,,journal,0,
-1875926813,British Journal for Eighteenth-Century Studies,,journal,0,
-1874279750,Victorian Poetry,,journal,0,
-1872028014,"Classical Journal, The",,journal,0,
-1870843522,Enironment and Planning C: Government and Policy,,journal,0,
-1868535321,Irish Journal of Earth Sciences,,journal,0,
-1856949048,"beau, the",,journal,0,
-1852655218,Irisleabhar Muighe Nuadhad,Columban Record,journal,0,
-1848521329,Cyphers,,journal,0,
-1844912863,Constable's Sixpenny Series,,books,0,
-1844479898,Essays and Studies,,journal,0,
-1843467526,International Journal of Qualitative Studies in Ed,,journal,0,
-1841544533,Samhain,,journal,0,
-1840593197,Vistas in Astronomy,,journal,0,
-1840184676,"Journal of Criminal Law, The",,journal,0,
-1840112052,From a Living Gallery,,article edition sub series,0,
-1839826202,Linen Hall Review,,journal,0,
-1838884579,Old Kilkenny Review [new series],,journal,0,
-1833543164,Littell's Living Age Magazine,,journal,0,
-1832470850,Star,,journal,0,
-1824696326,Béaloideas,The journal of the Folklore of Ireland Society,journal,0,
-1823435683,Classics Ireland,,journal,0,
-1817896540,"Journal of Irish Literature, The",,journal,0,
-1812437121,Outlook,,journal,0,
-1812087021,Harpers,,journal,0,
-1809464581,Golden Gem Library,,books,0,
-1807687329,The Literary and Visual Arts,,article edition sub series,0,
-1801441350,Law and Policy,,journal,0,
-1800308728,English Library,,books,0,"Heinemann and Balestier, Leipzig"
-1796919096, Facsimiles in collotype of Irish manuscripts,,,0,
-1796731703,Ulster Monthly Magazine,And Literary Miscellany,journal,0,
-1794526623,Red Letter Series of Select Fiction,,books,0,
-1791418802,Activities,,article edition sub series,0,
-1786058988,New Yorker,,journal,0,
-1781648010,Journal of the Kerry Archaeological and Historical,,journal,0,
-1781571859,Acorn,,journal,0,
-1780846815,1916 - 1921,,article edition sub series,0,
-1777511274,Studies in French Cinema,,journal,0,
-1771114602,The Electronic Media,,article edition sub series,0,
-1763841040,Today's Woman,A Weekly Home and Fashion Journal,journal,0,
-1763285654,Feminist Studies,,journal,0,
-1762346123,Q,A publication of the Students' Representative Coun,journal,0,
-1754267155,Christianity and Feminism,,article edition sub series,0,
-1746610063,Macmillan's Magazine,,journal,0,
-1746590259,Current Politics and Economics of Europe,,journal,0,
-1741981320,Seanchas Ardmhacha,,journal,0,
-1737893278,"Cork Literary Review, The",,journal,0,
-1734892589,Lovell's Library,,books,0,
-1731256958,European Law Journal,,journal,0,
-1730241854,The New Quarterly Magazine,,journal,0,
-1729435922,Irish Link,The Irish Family History Magazine,journal,0,
-1724849686,Substance,A Review of Theory and Literary Criticism,journal,0,
-1724484031,Yeats Eliot Review,,journal,0,
-1724333601,,,,0,
-1721064452,Hutchinson's Select Novles,,books,0,
-1719815709,Liberty,,journal,0,
-1711133223,The Club Worker,,journal,0,
-1708743989,,,journal,0,
-1707510425,Woman's Exponent,,journal,0,
-1706583606,"Aerospace and Electronic Systems Magazine, IEEE",,journal,0,
-1705374051,Deirdre,,journal,0,
-1700084427,European Journal of Education,,journal,0,
-1698723313,Working Papers (UCD Women's Studies Forum),,books,0,
-1695044377,Metropolitan,,journal,0,
-1693565915,Journal of Modern Literature,,journal,0,
-1693538739,Flaming Arrows,,journal,0,
-1691087955,"Women, Rights and Powers",,article edition sub series,0,
-1690028256,Icarus,,journal,0,
-1689054477,Cambridge Medieval Celtic Studies,,journal,0,
-1688702688,Irish Ancestor,,journal,0,
-1680537728,European Review of Economic History,,journal,0,
-1679808008,Essays in Criticism,,journal,0,
-1673024722,Research in Education,,journal,0,
-1664626858,British Journal of Educational Psychology,,journal,0,
-1663456141,"New Belfast Magazine, The",,journal,0,
-1663092801,Old Kilkenny Review [new series],,journal,0,
-1661190984,Modern Language Studies,,journal,0,
-1654769249,"Journal of Industrial Economics, The",,journal,0,
-1654644183,Asher's Continental Library of Favourite Modern Authors,,books,0,"Gadener, Hamburg"
-1653252494,Leisure Moment Series,,books,0,
-1652356053,Sunday Tribute,,journal,0,
-1649337975,"Historical Journal of Film, Radio and Television",,journal,0,
-1642305358,Chambers' Edinburgh Journal,,journal,0,
-1634583236,The Englishwoman,,journal,0,
-1634158910,Ropes,,journal,0,
-1627568142,"Irish Storyteller, The",,journal,0,
-1621571995,Beau,,journal,0,
-1617807982,G.K.Hall Large Print Book Series,,books,0,
-1617240112,Translating Experience,,article edition sub series,0,
-1616445421,"Tower Press Booklets, 2nd series",,books,0,
-1615370623,Suffrage Activities,,article edition sub series,0,
-1610875708,Penguin Modern Classics,,books,0,
-1609632477,Religion,,article edition sub series,0,
-1608428976,Current Literature,,journal,0,
-1608355705,Irish Monthly Illustrated Journal,,journal,0,
-1608001461,Appleton's Town and Country Library,,books,0,
-1598748949,Broadsheet,,journal,0,
-1597294054,Broadsheet,,broadsheet,0,
-1592492408,Georgia Review,,journal,0,
-1587195470,Medium Aevum,,journal,0,
-1586345902,Europe-Asia Studies,,journal,0,
-1583438872,The National Gallery of Ireland,,article edition sub series,0,
-1582962593,The Amulet,,journal,0,
-1582694157,The Protestant Annual,,journal,0,
-1580600037,English,The Journal of the English Association,journal,0,
-1576780314,European Journal of Information Systems,,journal,0,
-1574986295,Balkan Studies,,journal,0,
-1572701095,The Bell,,journal,0,
-1570550277,"Honest Ulsterman, The",,journal,0,
-1558944198,Educational Research and Evalutation,,journal,0,
-1558901178,Health Education Journal,,journal,0,
-1557180345,Daily Mirror,,journal,0,
-1556857549,Kottabos,,journal,0,
-1548468459,Cicero Pocket,,books,0,
-1547065793,"Irish Messenger of the Sacred Heart, The",,journal,0,
-1543727833,Equal Rights,,journal,0,
-1537313527,"Good Housekeeping (Springfield, Mass.)",,journal,0,
-1537087087,History Workshop Journal,,journal,0,
-1533142555,Women M.P's,,article edition sub series,0,
-1531197250,Adoption and Fostering,,journal,0,
-1529021081,Affilia,Journal of Women and Social Work,journal,0,
-1528531864,Journal of International Economic Law,,journal,0,
-1528180580,Virago Modern Classics,,books,0,
-1525374111,Women's Studies International Forum,,journal,0,
-1524237173,Bluestone Series,,books,0,
-1523828785,,,,0,
-1523315010,Shanachie,An Irish Miscellany Illustrated,journal,0,
-1522718331,Neues Frauenblatt,,journal,0,Beischrift für alle Interessen der Frauenwelt
-1521917135,When the Wood is Green,,article edition sub series,0,
-1516479764,International Migration Review,,journal,0,
-1513470969,International Journal of Comparative Sociology,,journal,0,
-1506164843,Journal of Celtic Languages,,journal,0,
-1504852036,Wellesley Index to Victorian Periodicals,,journal,0,
-1504836248,Developing Dialogue,,article edition sub series,0,
-1500355767,Mutual Challenges: Theory and Practice,,article edition sub series,0,
-1498734063,Men and Masculinities,,journal,0,
-1492925792,Russian History/Histoire Russe,,journal,0,
-1491424862,The Léighean Éireann series,,,0,
-1491315852,Writers' Digest,,journal,0,
-1484234491,Immigrants and Minorities,,journal,0,
-1481816963,New Hibernia Review,,journal,0,
-1480122078,Ecumenical Review,,journal,0,
-1478581888,Guidance Clinics for Problem Children,,article edition sub series,0,
-1473683416,Some Men and Episodes of '98,,article edition sub series,0,
-1465245369,Commonwealth,,journal,0,
-1465038740,Light and Shade of Suffrage Propaganda,,article edition sub series,0,
-1464674713,New Ireland,,journal,0,
-1463152746,Library Review,,journal,0,
-1457758975,A Fight for Freedom,,article edition sub series,0,Serial story translated from the German of Peter Rosegger by Mary Dougherty in the Catholic Bulletin.
-1456211755,Journal of Marriage and Family,,journal,0,
-1454129930,"Leader, The",,journal,0,
-1453073626,The Author,,journal,0,
-1452876387,American Mercury,,journal,0,
-1452713446,Qualitative Social Work,Research and Practice,journal,0,
-1451343095,Contact,,journal,0,
-1449002994,Fraser's Magazine for Town and Country,,journal,0,
-1447924371,Sociological Research Online,,journal,0,
-1447175911,Language Variation and Change,,journal,0,
-1436310222,Irish Bookman,,journal,0,
-1427318097,Albion,,journal,0,
-1423935138,Irish Archaeological and Celtic Society,,journal,0,
-1420716874,Fortnight,,journal,0,
-1419193503,International Social Work,,journal,0,
-1418103285,Public Culture,Society for Transnational Cultural Studies,journal,0,
-1412724542,The Arrow Library,,books,0,"Street & Smith, New York"
-1409117870,Transforming Icons,,article edition sub series,0,
-1405707978,Labour/Le Travail,,journal,0,
-1402395893,Classics of Irish History,,books,0,
-1395319187,James Joyce Quarterly,,journal,0,
-1395206997,"Microscope, The","Or, Minute Observer",journal,0,
-1392148129,Good Words,,journal,0,
-1391083682,Thesis Eleven,Critical Theory and Hisorical Sociology,journal,0,
-1383672490,"Universal Magazine and Review, The",,journal,0,
-1380238807,Health and Tradition,,article edition sub series,0,
-1379898750,Ulster Review,,journal,0,
-1379523227,British Journal of Politics and International Rela,,journal,0,
-1377194378,Beijing and After,,article edition sub series,0,
-1371092395,"Dublin and London Magazine, The",,journal,0,
-1370338483,Women of Ninety-Eight,,article edition sub series,0,
-1368731316,"Review of English Studies, The",,journal,0,
-1366449284,Comma,International Journal on Archives,journal,0,
-1365213893,Watching the Courts,,article edition sub series,0,
-1363779748,International Women's News,,journal,0,
-1363658460,Irish Words in William Blake's Mythology,,article edition sub series,0,
-1360674693,Journal of Youth Studies,,journal,0,
-1360487798,The White Series,,books,0,F. M. Lupton
-1358394120,Kerry Magazine,,journal,0,
-1356699448,Social Compass,,journal,0,
-1356613130,Youth & Society,,journal,0,
-1355713859,European History Quarterly,,journal,0,
-1353687827,Camera Obscura,"Feminism, Culture, and Media Studies",journal,0,
-1351433436,Victorian Fiction,,books,0,"OmniSys Corp, USA"
-1347918595,Dublin Illustrated Magazine,,journal,0,
-1346566373,"Bell, The",,journal,0,
-1345104210,Watermark,Ulster Polytechnic Review,journal,0,
-1343801723,"St. Brigid, Pioneer and Feminist",,article edition sub series,0,
-1340508514,Journal of the History of Sexuality,,journal,0,
-1337307348,European Journal of American Culture,,journal,0,
-1335014987,Three Poets,,books,0,
-1326473225,Collection of British authors. Tauchnitz edition,,books,0,
-1320863148,Labor Studies Journal,,journal,0,
-1320345362,Business History,,journal,0,
-1319098911,"Dublin Review, The [third series]",,journal,0,
-1316476743,Women and the Arts,,article edition sub series,0,
-1314248348,Fallon's New Intermediate Series,,books,0,
-1314041662,British Journal of Religious Education,,journal,0,
-1313079825,Lapwing Poetry Pamphlets,,pamphlets,0,
-1312907880,Children and Society,,journal,0,
-1311772481,Industrial Relations Journal,,journal,0,
-1306095962,International Journal of the Sociology of Language,,journal,0,
-1302468267,Comparative Studies in Society and History,,journal,0,
-1297819678,The Horn Book Magazine,,journal,0,
-1297166203,Women's History Review,,journal,0,
-1294045268,Cassell's Sixpenny Novels,,books,0,
-1293676662,Sociology Review,,journal,0,
-1292581853,"Cork Review, The",,journal,0,
-1288775708,Nuclear Instruments and Methods in Physics Research Section A,,journal,0,
-1286978558,Dublin Magazine and Citizen,,journal,0,
-1280851877,Dublin Magazine and General Repertory of Philiosop,,journal,0,
-1272470627,History of Political Thought,,journal,0,
-1270192685,Social Studies,Irish Journal of Sociology,journal,0,
-1261089087,"Blarney Annual, The",[afterw.] magazine,journal,0,
-1259157734,Colby Quarterly,,journal,0,
-1258875949,Representations,,journal,0,
-1258716181,Blackwood's Magazine,,journal,0,
-1256068162,"Chaucer Review, The",A Journal of Medieval Studies and Literary Critici,journal,0,
-1255406723,"International Journal of Law, Policy and the Famil",,journal,0,
-1250780784,Journal of Contemporary Ethnography,,journal,0,
-1247262068,"Journal of Ecclesistical History, The",,journal,0,
-1245004309,Mortality,,journal,0,
-1239267052,Women's Studies,An Interdisciplinary Journal,journal,0,
-1238163025,Phoenix,"A Review of Poetry, Criticism and the Arts",journal,0,
-1237649552,Irish Young Man's Journal,,journal,0,
-1233923993,Agus,,journal,0,
-1232797848,PAJ,A Journal of Performance and Art,journal,0,
-1228676919,The American Poetry Review,,journal,0,
-1227523910,Contemporary Essays,,journal,0,
-1226763199,Philosophical Investigations,,journal,0,
-1219468295,The Making of the German Woman,,article edition sub series,0,
-1218810825,Peeps at Many Lands,,books,0,
-1211393204,Circa,,journal,0,
-1206406744,Green Sheaf,,journal,0,
-1206151518,The Mayflower Library,,books,0,"J.A. Taylor & Co., New York"
-1201922682,Comparative European Politics,,journal,0,
-1194265128,Social Text,,journal,0,
-1190755975,The European and American Background of O'Connell's Nationalism,,article edition sub series,0,
-1185262904,Riverine,,journal,0,
-1181568547,"Australian Journal of Irish Studies, The",,journal,0,
-1172062072,Sociological Inquiry,,journal,0,
-1170951305,New German Critique,,journal,0,
-1163715418,Experiences of a Woman Patrol,,article edition sub series,0,
-1163396541,"Dublin Review, The",,journal,0,Published from 2000-
-1160118263,Fallon's New Secondary School Series,,books,0,
-1159285217,British Journal of Educational Studies,,journal,0,
-1152637536,Electoral Studies,,journal,0,
-1148854667,Athy Literary Magazine,,journal,0,
-1148121824,Film Criticism,,journal,0,
-1142516778,Oral History,,journal,0,
-1132171103,Ireland To-Day,,journal,0,
-1127829496,Oideas,,journal,0,
-1121406076,Maynooth Review,,journal,0,
-1120027114,Index on Censorship,,journal,0,
-1119881495,Klaxon,An Irish International Quarterly,journal,0,
-1112534638,"Rushlight, The",,journal,0,
-1109898256,"Stinging Fly, The",A Forum for New Writing,journal,0,
-1109101882,Theatre Ireland,,journal,0,
-1103268174,The Sunday Business Post,,journal,0,
-1101440113,Cultural Critique,,journal,0,
-1093095365,Irish School Mistress,and Female Teachers Assistant,journal,0,
-1083581639,Journal of Law and Society,,journal,0,
-1074809593,Pod róza,,books,0,
-1071155634,Women and Difference,,article edition sub series,0,
-1068812941,Polonius Poets First Selections,,books,0,
-1068358302,"Use of English, The",,journal,0,
-1067743550,Lippincott's Series of Select Novels,,books,0,
-1064236971,Contemporary Literature,,journal,0,
-1062676777,The Englishwoman,,journal,0,
-1060123621,TestJournalSubSeries,,journal edition sub series,0,
-1060065403,Literary and Political Examiner,,journal,0,
-1059312139,Ireland of the Welcomes,,journal,0,
-1055971502,Celtic Pen,,journal,0,
-1048694919,Historical Studies in Industrial Relations,,journal,0,
-1048505802,Parliamentary Debate,,article edition sub series,0,
-1047234625,Journal of Philosophical Logic,,journal,0,
-1041821786,"Burning Bush, The",,journal,0,
-1041616611,The Furrow,,journal,0,
-1038604388,Irish Publishing Record,,journal,0,
-1037277116,"Modern Language Journal, The",,journal,0,
-1035818228,Our Sisters,"A Monthly Magazine Devoted to the Interests of Women of Every Class, Clime & Creed",journal,0,
-1032642858,Chambers' Journal,,journal,0,
-1017629574,Analysis,,journal,0,
-1013978776,"Journal of Irish Archaeology, The",,journal,0,
-1012074660,Spectrum,,journal,0,
-1007068610,Journal of Contract Law,,journal,0,
-998544395,Modern Fiction Studies,,journal,0,
-996463408,Women's History Review,,journal,0,
-995891563,University Review,,journal,0,
-989297052,The World's Classics,,books,0,OUP
-988065117,"St Brigid, Abbess of Kildare",,article edition sub series,0,
-985683454,World Literature Written in English,,journal,0,
-981609718,Current Sociology,,journal,0,
-981256341,Transgressing Conventions,,article edition sub series,0,
-977642438,Eureka Series,,books,0,
-976811551,Monitor,An Illustrated Dublin Magazine,journal,0,
-975469201,European Journal of Industrial Relations,,journal,0,
-971672434,The English Woman's Journal,,journal,0,
-970906350,Journal of Black Studies,,journal,0,
-970062067,"Irish Ecclesiastical Record, The","a monthly journal, conducted by a society of clerg",journal,0,
-967417463,Guth an ealaíontóra,,books,0,
-966734844,Patriotism: True and False,,article edition sub series,0,
-961206413,"Dublin Journal of Temperance, Science and Literatu",,journal,0,
-960280199,Sunday Independent,,journal,0,
-959482820,The Ven. Michael Garicoits,,article edition sub series,0,
-948309483,Eighteenth-Century Ireland,Iris an Dá Chultúr,journal,0,
-942139695,"Cyclopedian Magazine, The","And Dublin Monthly Register of History, Literature",journal,0,
-932413958,Modern Poetry in Translation,,journal,0,
-930463312,Science & Society,,journal,0,
-929502316,Industrial Relations. A Journal of Economy and Soc,,journal,0,
-927342665,Women and Creativity,,article edition sub series,0,
-925783885,Ríoct na Mide,"Records of Meath Archaeological and Historical 
 ",journal,0,
-924833963,Journal of the West Wicklow Historical Society,,journal,0,
-920856014,Exodus,,article edition sub series,0,
-920609088,Krino,,journal,0,
-920217382,Caret,,journal,0,
-918780210,Local Population Studies,,journal,0,
-916589228,Shakespeare Quarterly,,journal,0,
-914976839,Women's Reflections on the Peace,,article edition sub series,0,
-911256638,The Irish Home Reading Magazine,,journal,0,
-903019582,"English Historical Review, The",,journal,0,
-900909221,Research in the Teaching of English,,journal,0,
-897062017,Cathair na Mart,Journal of the Westport Historical Society,journal,0,
-893057431,Food and Politics,,article edition sub series,0,
-891767071,Longman's Magazine,,journal,0,
-891748361,Archives,The Journal of the British Records Association,journal,0,
-888639048,International Journal of Social Research Methodolo,,journal,0,
-878815105,English Library,,books,0,"Heinemann and Balestier, Leipzig"
-877055080,Bantry Historical and Archaeological Society Journ,,journal,0,
-876215314,ELH,,journal,0,
-874593249,University Gazette,,journal,0,
-869477735,Lagan,,journal,0,
-863855489,Physics Education,,journal,0,
-863214634,The Arm Chair Library,,books,0,
-860968508,Paragon Softcover Large Print books,,books,0,
-859572624,"Dublin Magazine, The",,journal,0,
-857473959,Modern Language Quarterly,,journal,0,
-855327457,Art History,,journal,0,
-854968294,International Women's News,,journal,0,
-853937993,Hawthorn Library,,books,0,
-852438732,Tracks,,journal,0,
-850281743,"Englishwoman's Review, The",,journal,0,
-847906753,Journal of Geophysical Research,,journal,0,
-841664948,Journal of Education Policy,,journal,0,
-839800880,Salmon Poets,,article edition sub series,0,
-836681512,"Irish Jurist, The",,journal,0,
-836088746,Arena,,journal,0,
-835173972,Legal Ethics,,journal,0,
-832387236,Illustrated London News,,journal,0,
-832304958,Studia Liturgica,,journal,0,
-831407352,International Education,,journal,0,
-829819467,Ulster Journal of Archaeology,,journal,0,
-826072921,Living Age,,journal,0,
-825330935,"Critic, The","A Weekly Repository of dramatic, literary, politic",journal,0,
-823146117,Emania,Bulletin of the Navan Research Group,journal,0,
-807748126,Space Technology,,journal,0,
-802709008,Postscript,Essays in Film and Humanities,journal,0,
-799808696,French Studies,A Quarterly Review,journal,0,
-797426914,Sunset Series,,books,0,
-792674061,Modern Philology,,journal,0,
-791691237,Superbestseller,,books,0,
-790089304,Feminist Economics,,journal,0,
-785518622,The National Review,,journal,0,
-771958775,Woman's Work,,journal,0,New York
-769206925,American Philosophical Quarterly,,journal,0,
-764459638,Evening Standard,,journal,0,
-762243280,Literature and Theology,"An International Journal of Religion, Theory and C",journal,0,
-761337478,The Wide World Magazine,,journal,0,
-760434068,Dublin Family Magazine,or Literary and Religious Miscellany,journal,0,
-759317776,MICA poets,,books,0,
-754193933,International Journal of Refugee Law,,journal,0,
-752769071,English Woman's Journals,,journal,0,
-751233853,Diaspora,,journal,0,
-747584521,Annales Geophysicae,,journal,0,
-745269600,Pickering's Women's Classics,,books,0,
-734707008,"Irish Housewife, The",,journal,0,
-734696349,PN Review,,journal,0,
-733818019,Journal of Education and Work,,journal,0,
-731000939,Atlantic Library,,books,0,
-728482991,The Republic,A Journal of Contemporary and Historical Debate,journal,0,
-728435620,Synthese,,journal,0,
-727714242,The Everyman Library,,books,0,
-726176799,"Lady of the House and Domestic Economist, The",,journal,0,
-725210599,Sliabh Aughty,,journal,0,
-724054712,Envoy,,journal,0,
-722965486,The Augustan Books of English Poetry,,books,0,
-722002685,"Kilkenny Magazine, The",An All-Ireland Literary Review,journal,0,
-714166693,Women's Writing,,journal,0,
-706276932,"Window on the Past, A","Rathfeigh Historical Society, Co. Meath",journal,0,
-695825614,Journal of the Irish Folk Song Society,,journal,0,
-690535386,Astrophysics and Space Science,,journal,0,
-688605252,Contemporary Review,,journal,0,
-688298144,"Journal of the Irish Free State Medical Union, The",,journal,0,
-687268747,"Classical Quarterly, The",,journal,0,
-683849604,Current Anthropology,,journal,0,
-683429388,Suffrage Activities in Ireland,,article edition sub series,0,
-679068846,"International Fiction Review, The",,journal,0,
-678854733,Law and Society Review,,journal,0,
-676788696,Ainsworth's Magazine,,journal,0,
-673150049,Peeps at Many Lands,,books,0,
-673086946,"Dublin Penny Journal, The",,journal,0,
-672206588,Trowel,,journal,0,
