DB_ID,season
{04322A98-3801-483C-9A1B-D4ED8F401094},Eanair
{17B6D60B-1F5A-4B83-A5A4-9D9889D1D3C9},Spring/Earrach
{3E22A6CB-E3DD-4E12-9111-3B0FF7002555},Spring
{497E6CC7-E54A-4F10-B883-04903A9D9936},Spring/Summer
{4A16A505-E3F1-40BB-A592-8BB44313A454},Spring/Summer
{4A1B9C26-3CFD-4334-AC34-CD1C2A64256A},Fall
{54637561-34B6-4125-9956-C34C8F3BFC34},Summer/Fall
{68DE203F-851D-47AC-9E73-9ADE35C4EEF9},Feabhra
{852A80CD-2859-4183-A586-86A4CA9BA367},Autumn/Winter
{977CFBC1-B80D-4E26-AE2F-D285D1FB5613},Christmas
{9E438142-21EB-45EC-B4A0-5B50CE909E2F},Autumn/FÃ³mhar
{A33AAC80-276F-4948-B399-5A02B68CEEEF},Winter/Spring/Summer
{A3FC7F71-B1DC-41A1-8003-E70125DB0A4A},Summer/Autumn
{A45C7F54-7C27-4E7D-B6CC-88F5B536B30C},Autumn
{B467B0B8-F700-4135-BD93-32A9F1C41D04},Winter
{C2371F07-C3E1-4D69-877F-75B1D8A17B66},Winter/Spring
{D2B0246B-74D8-48CD-BB61-4D880DB04092},Fall/Winter
{EFAAEA69-91C4-4D1D-B66A-5BDFE1D73945},Fall/Winter & Spring
{F6DEE0FF-2CD7-4DC6-9DFB-3B1471BC84F9},Summer
