publication_id,place_of_first_production_settlement,place_of_first_production_county,place_of_first_production_country,first_revival_year,first_revival_month,first_revival_day,place_of_first_revival_settlement,place_of_first_revival_county,place_of_first_revival_country,theatre_company,venue,revival_venue,notes
-2112730124,Dublin,,Ireland,0,0,0,,,,-1402958477,The Gate Theatre,,
-2104042755,Dublin,Dublin,Ireland,0,0,0,,,,-1050361748,,,Produced at the Gate Theatre
-2096153088,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-2095002937,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-2087449008,Belfast,,Ireland,0,0,0,,,,702702609,Stranmillis College Theatre,,
-2086900851,London,,England,0,0,0,,,,-153439562,The Playhouse,,
-2084345123,,,,,0,0,,,,-712549273,,,"Produced at The Abbey Theatre. ""Produced at the Queen's Theatre""."
-2054379211,Kilkenny,,Ireland,0,0,0,,,,1920190831,Watergate Theatre,,
-2050900264,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-2049965346,Belfast,,Ireland,0,0,0,,,,-1368436573,Arts Theatre,,
-2048011383,Enniskillen,Fermanagh,Ireland,0,0,0,,,,1569298031,Ardhowen Theatre,,
-2042000481,,,,0,0,0,,,,-153439562,Firkin Lane,,
-2040632042,Dublin,,Ireland,0,0,0,,,,-1402958477,The Gate Theatre,,
-2034899544,Kilkenny,,Ireland,0,0,0,,,,1920190831,Watergate Theatre,,
-2033735532,Belfast,,Ireland,0,0,0,,,,2075769476,Old Museum Arts Centre,,
-2032363115,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-2029754471,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-2027202795,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-2007127478,,,,0,0,0,,,,-153439562,,,
-2005088509,Dublin,,Ireland,0,0,0,,,,-843556565,Project Arts Centre,,
-1999194532,Belfast,,Ireland,0,0,0,,,,1300715191,Old Museum Arts Centre,,
-1986993802,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1986557827,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1983921344,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-1941137347,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1939851992,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1918755635,Belfast,Antrim,Ireland,0,0,0,,,,528594578,,,Produced at the Group Theatre
-1905338785,Dublin,,Ireland,0,0,0,,,,1633018044,Gate Theatre,,
-1894018015,,,,0,0,0,,,,2075769476,,,
-1889268722,Dublin,,Ireland,0,0,0,,,,-2025750415,Project Arts Centre,,
-1877554256,,,,0,0,0,,,,-153439562,Crawford Gallery,,
-1869342099,Dublin,,Ireland,0,0,0,,,,-1292405262,Riverside Theatre,,
-1862096854,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1860462913,Cork,,Ireland,0,0,0,,,,-2025750415,Cork Opera House,,
-1854341564,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-1852506027,Dublin,Dublin,Ireland,0,0,0,,,,-1050361748,,,Produced at The Gate Theatre
-1851262153,,,,0,0,0,,,,2075769476,,,
-1844449930,,,,0,0,0,,,,1569298031,,,
-1821889288,Galway,,Ireland,0,0,0,,,,1316655950,Town Hall Theatre,,
-1806468357,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1806248797,Limerick,,Ireland,0,0,0,,,,1343083176,Belltable Arts Centre,,
-1805765846,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-1805697465,Portstewart,,Ireland,0,0,0,,,,-1292405262,Flowerfield Arts Centre,,
-1797929087,Dublin,,Ireland,0,0,0,,,,1444018094,The Round Room in the Mansion House,,
-1779904782,,,,0,0,0,,,,-1562271663,,,
-1768175647,Dublin,,Ireland,0,0,0,,,,-1036629874,The Gate Theatre,,
-1764720611,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1694366664,,,,0,0,0,,,,1548641276,,,
-1683230102,Dublin,,Ireland,0,0,0,,,,-511387485,Bewley's Café Theatre,,
-1668949276,Dublin,,Ireland,0,0,0,,,,798972613,City Arts Centre,,
-1668709808,Dublin,,Ireland,0,0,0,,,,-1402958477,The Gate Theatre,,
-1632216004,Ulster,,Ireland,0,0,0,,,,-1368436573,Riverside Theatre,,
-1621815835,Limerick,,Ireland,0,0,0,,,,1603442578,Belltable Arts Centre,,
-1611611693,Mullingar,,Ireland,0,0,0,,,,-153439562,Mullingar Arts Cente,,
-1602817243,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
-1601500229,Clifden,,Ireland,0,0,0,,,,-1397026336,Town Hall Theatre,,
-1589756976,,,,0,0,0,,,,1548641276,,,
-1582137318,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1574736592,London,,England,0,0,0,,,,-1336716943,Tricycle Theatre,,
-1573170810,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1567942283,Dublin,,Ireland,0,0,0,,,,1603442578,Project Arts Centre,,
-1565930096,Limerick,,Ireland,0,0,0,,,,1607599215,Belltable Arts Centre,,
-1565430472,Dublin,,Ireland,0,0,0,,,,1135709480,Andrew's Lane,,
-1559314668,,,,0,0,0,,,,1569298031,Rock Theatre,,
-1558893513,,,,0,0,0,,,,8831333,,,
-1543197535,,,,0,0,0,,,,1926951602,Lyric Theatre,,
-1540916709,Galway,,Ireland,0,0,0,,,,8831333,Druid Lane Theatre,,
-1538680515,Dublin,,Ireland,0,0,0,,,,-555958854,Olympia Theatre,,
-1515498752,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1499898841,Cork,,Ireland,0,0,0,,,,-1736426276,Cork Opera House,,
-1499436289,Dublin,,Ireland,0,0,0,,,,1863575764,City Arts Centre,,
-1476812018,Belfast,,Ireland,0,0,0,,,,1926951602,Lyric Theatre,,
-1463584858,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-1449991146,Kilkenny,,Ireland,0,0,0,,,,1920190831,Watergate Theatre,,
-1448019519,Galway,,Ireland,0,0,0,,,,8831333,Town Hall Theatre,,
-1442272022,Dublin,,Ireland,0,0,0,,,,-681533149,Project Arts Centre,,
-1434146663,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,,,"""Produced at the Queen's Theatre"""
-1429620432,Enniskillen,Fermanagh,Ireland,0,0,0,,,,-1368436573,Ardhowen Theatre,,
-1416727702,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1405929469,,,,0,0,0,,,,691438355,,,
-1404078249,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1382872267,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1372979148,Kilkenny,,Ireland,0,0,0,,,,1920190831,Watergate Theatre,,
-1348095767,Dublin,,Ireland,0,0,0,,,,600616947,Project Arts Centre,,
-1344726542,,,,0,0,0,,,,-153439562,,,
-1335147931,London,,England,0,0,0,,,,-1061066302,The Royal Court Theatre,,
-1326626596,Belfast,,Ireland,0,0,0,,,,1569298031,Grand Opera House,,
-1323292916,London,,England,0,0,0,,,,-1933859555,The Royal Court Theatre,,
-1322890574,Bishopstown,Cork,Ireland,0,0,0,,,,691438355,Coláiste an Spioraid Naofa,,
-1311567918,Dublin,,Ireland,0,0,0,,,,1633018044,The Gate Theatre,,
-1304577279,Bury St Edmunds,,England,0,0,0,,,,502587945,Theatre Royal,,
-1304002185,Dublin,,Ireland,0,0,0,,,,-1292405262,Riverside Theatre,,
-1300708618,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1287193700,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1283343212,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1277511220,Cork,,Ireland,0,0,0,,,,-153439562,Cork Opera House,,
-1275942067,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1260550125,London,,England,0,0,0,,,,-1368436573,Drill Hall,,
-1249960435,Belfast,,Ireland,0,0,0,,,,1300715191,Old Museum Arts Centre,,
-1236992273,Dublin,,Ireland,0,0,0,,,,1475054084,Project Arts Centre,,
-1231893978,Galway,,Ireland,0,0,0,,,,1612261081,The Black Box,,
-1231688785,Ballymoney,,Ireland,0,0,0,,,,-1965447228,Ballymoney Arts Centre,,
-1226915848,Dublin,,Ireland,0,0,0,,,,-511387485,Bewley's Café Theatre,,
-1220904667,Dublin,,Ireland,0,0,0,,,,1603442578,Meeting House Square,,
-1220099609,Dublin,,Ireland,0,0,0,,,,-636796677,Dublin Writers' Museuem,,
-1219820745,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1201430480,Dublin,,Ireland,0,0,0,,,,1214035932,Civic Theatre,,
-1197047420,Dublin,Dublin,Ireland,0,0,0,,,,-153439562,,,"""First produced…at the Damer Hall, Dublin"""
-1186916225,Dublin,,Ireland,0,0,0,,,,-153439562,Andrew's Lane,,
-1175276780,,,,0,0,0,,,,691438355,,,
-1157422766,Dublin,,Ireland,0,0,0,,,,-511387485,International Bar,,
-1148513672,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
-1130417192,Ulster,Antrim,Ireland,0,0,0,,,,528594578,Group Theatre,,
-1128406716,Dublin,,Ireland,0,0,0,,,,1863575764,Samuel Beckett Theatre,,
-1125837900,Shepherds Bush,London,England,0,0,0,,,,1828204197,The Bush Theatre,,
-1108240375,Dublin,,Ireland,0,0,0,,,,-681533149,Project Arts Centre,,
-1106537993,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1105903599,,,,0,0,0,,,,2075769476,,,
-1090537113,Dublin,,Ireland,0,0,0,,,,410711230,Andrew's Lane,,
-1089213875,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1089000572,,,,0,0,0,,,,1569298031,,,
-1071016048,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1068019132,Dublin,,Ireland,0,0,0,,,,1214035932,Civic Theatre,,
-1064044703,Dun Laoghaire,Dublin,Ireland,0,0,0,,,,-1314991904,Pavilion Theatre,,
-1057488240,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1054619520,Dublin,,Ireland,0,0,0,,,,-1184022911,Project Arts Centre,,
-1054486953,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1038012072,Dublin,,Ireland,0,0,0,,,,-1184022911,Project Arts Centre,,
-1034962036,Dublin,,Ireland,0,0,0,,,,1603442578,Project Arts Centre,,
-1030724802,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-1023107377,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-1009322253,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-990885421,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-988380476,Dublin,Dublin,Ireland,0,0,0,,,,-1402958477,,,Performed at the Gate Theatre
-986137968,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-983320596,Dublin,,Ireland,0,0,0,,,,-1463460739,Civic Theatre,,
-970817052,Cork,,Ireland,0,0,0,,,,691438355,St. Marks Boys School,,
-963499042,Dublin,,Ireland,0,0,0,,,,-2025750415,Project Arts Centre,,
-944380985,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-938046504,London,,England,0,0,0,,,,-153439562,Cottesloe Theatre,,
-901558601,Dublin,,Ireland,0,0,0,,,,-636796677,SS Michael and John,,
-881669647,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-880995822,Dublin,,Ireland,0,0,0,,,,-843556565,Project Arts Centre,,
-876382670,Dublin,,Ireland,0,0,0,,,,-153439562,Bewley's Café Theatre,,
-872662570,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-871499216,Cork,,Ireland,0,0,0,,,,-2025750415,Cork Opera House,,
-869357381,,,,0,0,0,,,,-1752454432,Players Theatre,,
-849787506,Dublin,,Ireland,0,0,0,,,,-636796677,Dublin Writers' Museuem,,
-846863696,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-840672756,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
-819778404,Dublin,,Ireland,0,0,0,,,,507707245,Project Arts Centre,,
-800734643,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-796619437,Galway,,Ireland,0,0,0,,,,8831333,Druid Lane Theatre,,
-792861050,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-789309400,Dublin,Dublin,Ireland,0,0,0,,,,1251749641,Crypt Arts Centre,,
-743143133,Dublin,,Ireland,0,0,0,,,,1135709480,City Arts Centre,,
-742579731,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-731447719,Ballina,Mayo,Ireland,0,0,0,,,,-1817014103,The Building Theatre,,
-730463053,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
-711146270,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-685837872,Dublin,Dublin,Ireland,0,0,0,,,,-1599237493,,,Performed at the Lantern Theatre Club
-678892813,,,,0,0,0,,,,-636796677,,,
-672447113,Galway,,Ireland,0,0,0,,,,-1782840262,Punchbag Theatre,,
-670683079,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-670645905,Belfast,,Ireland,0,0,0,,,,2075769476,Belfast Royal Academy,,
-663806511,Dublin,Dublin,Ireland,0,0,0,,,,-1402958477,,,Performed at The Gate Theatre
-654607170,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-644506171,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-643147449,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,,,Produced at the Abbey Theatre (the Queen's Theatre)
-632904174,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-629539114,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-626641679,,Waterford,Ireland,0,0,0,,,,168285278,Garter Lane Arts Centre,,
-622611700,Dublin,,Ireland,0,0,0,,,,1214035932,Civic Theatre,,
-613587959,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-607322619,Dublin,,Ireland,0,0,0,,,,-511387485,Bewley's Café Theatre,,
-590796320,Belfast,,Ireland,0,0,0,,,,1926951602,Lyric Theatre,,
-572827268,Dublin,,Ireland,0,0,0,,,,-153439562,Andrew's Lane,,
-564974506,,,,0,0,0,,,,-153439562,Digital Hub,,
-560225715,Dublin,,Ireland,0,0,0,,,,-949176950,Andrew's Lane,,
-541030338,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-538239052,Dublin,,Ireland,0,0,0,,,,1603442578,Project Arts Centre,,
-524401640,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-499905334,,,,0,0,0,,,,2075769476,,,
-495723665,Dublin,,Ireland,0,0,0,,,,-1402958477,The Gate Theatre,,
-485407274,Drogheda,Louth,Ireland,0,0,0,,,,910658207,Droichead Arts Centre,,
-482922061,Dublin,,Ireland,0,0,0,,,,1475054084,Project Arts Centre,,
-482326955,Limerick,,Ireland,0,0,0,,,,1572649714,Belltable Arts Centre,,
-460798025,,,,0,0,0,,,,1926951602,Lyric Theatre,,
-429381125,,,,0,0,0,,,,1926951602,Lyric Theatre,,
-424279539,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-407916324,Dublin,,Ireland,0,0,0,,,,-153439562,Project Arts Centre,,
-405621817,Belfast,Antrim,Ireland,0,0,0,,,,1548641276,Old Museum Arts Centre,,
-396791112,Dublin,,Ireland,0,0,0,,,,-1050361748,The Gate Theatre,,
-395221123,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-393858597,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-383219674,Dublin,Dublin,Ireland,0,0,0,,,,-1050361748,,,?performed at the Gate Theatre?
-372920327,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
-368286067,,,,0,0,0,,,,1548589892,,,
-364484048,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-363953453,Dublin,,Ireland,0,0,0,,,,995299641,Project Arts Centre,,
-361057389,Dublin,,Ireland,0,0,0,,,,1666006495,Focus Theatre,,
-346629780,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-340279527,Dublin,,Ireland,0,0,0,,,,1633018044,The Gate Theate,,
-309396663,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-305270315,Dublin,,Ireland,0,0,0,,,,-524754830,Olympia Theatre,,
-296105418,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-291070446,Dublin,,Ireland,0,0,0,,,,-1402958477,The Gate Theatre,,
-271441991,Galway,,Ireland,0,0,0,,,,8831333,Druid Lane Theatre,,
-266640096,Dublin,Dublin,Ireland,0,0,0,,,,-1005456389,,,"""Presented at the Dublin Theatre Festival…Produced by York Promotions by arrangement with Stanley Illsley and Leo McCabe"". ""Translated and adapted from The Original by Marcelle Maurette."" Performed at the Olympia Theatre."
-259388369,,,,0,0,0,,,,-1292405262,,,
-250924421,Dublin,,Ireland,0,0,0,,,,798972613,Project Arts Centre,,
-250816419,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-250767684,,,,0,0,0,,,,691438355,,,
-249216899,Dublin,,Ireland,0,0,0,,,,-1292405262,Riverside Theatre,,
-248854774,Belfast,Antrim,Ireland,0,0,0,,,,-2071420564,Grand Opera House,,
-247289018,Dublin,,Ireland,0,0,0,,,,798972613,Project Arts Centre,,
-245595799,London,,England,0,0,0,,,,1548589892,Battersea Arts Centre,,
-239530053,Dublin,Dublin,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-226412281,Dublin,,Ireland,0,0,0,,,,-1817014103,Andrew's Lane,,
-220657843,Stratford-Upon-Avon,Warwickshire,England,0,0,0,,,,-1091209590,The Other Place,,
-199410816,,,,0,0,0,,,,1863575764,,,
-193897867,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-186005270,Dublin,,Ireland,0,0,0,,,,-1085509476,Bewley's Café Theatre,,
-177938072,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-170170311,Waterford,,Ireland,0,0,0,,,,168285278,Garter Lane Arts Centre,,
-162597571,Dublin,,Ireland,0,0,0,,,,798972613,Project Arts Centre,,
-155349678,Belfast,,Ireland,0,0,0,,,,1926951602,Lyric Theatre,,
-155184014,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-147276585,Belfast,Antrim,Ireland,0,0,0,,,,528594578,,,"Produced at the Group Theatre. Published by H.R. Carter Publications Ltd., Belfast, 1955."
-147135549,Dublin,Dublin,Ireland,0,0,0,,,,-1050361748,,,Produced at The Gate Theatre
-143899654,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-139797735,Dublin,,Ireland,0,0,0,,,,-712549273,Abbey Theatre,,
-136066270,Dublin,,Ireland,0,0,0,,,,-636796677,Draíocht Centre for the Arts,,
-125344614,Dublin,,Ireland,0,0,0,,,,1603442578,Project Arts Centre,,
-122029718,,,,0,0,0,,,,1863575764,,,
